species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female
